,White,White,White,Other,Other,Other,Asian,Asian,Asian,Black,Black,Black,Mixed,Mixed,Mixed,diff,worst tuple,best tuple
,Male,Female,Other,Male,Female,Other,Male,Female,Other,Male,Female,Other,Male,Female,Other,,,
hampshire,0.27904086556034796,0.2548476454293629,0.17699115044247787,0.27580071174377224,0.2608695652173913,,0.27238454288407166,0.1951219512195122,,0.25073891625615763,0.23684210526315788,,,,,0.10205,"('White', 'Male')","('White', 'Other')"
sussex,0.22558340535868626,0.16733870967741934,,0.20915032679738563,,,0.21136363636363636,,,0.19095940959409594,0.10126582278481013,,,,,0.12431,"('White', 'Male')","('Black', 'Female')"
south-yorkshire,0.08634883032277169,0.049878345498783457,,0.12158054711246201,,,0.10734898037706811,0.08080808080808081,,0.11476323119777158,0.07079646017699115,,,,,0.07169999999999999,"('Other', 'Male')","('White', 'Female')"
staffordshire,0.19597747385358005,0.16666666666666666,0.15079365079365079,0.10526315789473684,,,0.20518134715025907,,,0.2032520325203252,0.20833333333333334,,,,,0.10306999999999998,"('Black', 'Female')","('Other', 'Male')"
bedfordshire,0.20866590649942987,0.17057569296375266,,0.19230769230769232,,,0.22574850299401197,0.1896551724137931,,0.23159018143009605,0.12727272727272726,,,,,0.10432,"('Black', 'Male')","('Black', 'Female')"
cumbria,0.22355371900826446,0.14186046511627906,,0.3,,,0.2727272727272727,,,0.2558139534883721,,,,,,0.15813999999999998,"('Other', 'Male')","('White', 'Female')"
nottinghamshire,0.25229455709711845,0.19285714285714287,,0.1958762886597938,,,0.20657894736842106,,,0.21309655937846836,0.13513513513513514,,0.20924574209245742,0.11428571428571428,,0.138,"('White', 'Male')","('Mixed', 'Female')"
warwickshire,0.2532414910858995,0.21914357682619648,,0.2692307692307692,,,0.27297297297297296,,,0.2696335078534031,,,0.24742268041237114,,,0.05382999999999999,"('Asian', 'Male')","('White', 'Female')"
devon-and-cornwall,0.1855140186915888,0.16507747318235996,,0.18421052631578946,,,0.17424242424242425,,,0.2044334975369458,0.075,,,,,0.12943,"('Black', 'Male')","('Black', 'Female')"
durham,0.2782060266292922,0.2746478873239437,0.22448979591836735,,,,0.29545454545454547,,,,,,,,,0.07096,"('Asian', 'Male')","('White', 'Other')"
thames-valley,0.18749631724706853,0.16399721448467966,,0.17293233082706766,,,0.1681967781049714,0.17058823529411765,,0.1783006027610344,0.15426997245179064,,,,,0.03323000000000001,"('White', 'Male')","('Black', 'Female')"
norfolk,0.13051470588235295,0.1134278565471226,0.07894736842105263,0.1,,,0.18471337579617833,,,0.1774193548387097,,,0.12033195020746888,0.08571428571428572,,0.10576,"('Asian', 'Male')","('White', 'Other')"
lincolnshire,0.05442688738399799,0.02631578947368421,,0.017543859649122806,,,0.08421052631578947,,,0.04017857142857143,,,,,,0.06667,"('Asian', 'Male')","('Other', 'Male')"
northamptonshire,0.2176731490958717,0.1891304347826087,,,,,0.2517482517482518,,,0.22238372093023256,0.2727272727272727,,,,,0.08359999999999998,"('Black', 'Female')","('White', 'Female')"
kent,0.199457147557164,0.1953792064289302,,0.14357262103505844,0.19718309859154928,,0.14701986754966886,0.2127659574468085,,0.21017845340383345,0.2376237623762376,,0.20626151012891344,0.17567567567567569,,0.09405,"('Black', 'Female')","('Other', 'Male')"
wiltshire,0.1957593688362919,0.16071428571428573,,0.21568627450980393,,,0.2074074074074074,,,0.13333333333333333,,,,,,0.08235999999999999,"('Other', 'Male')","('Black', 'Male')"
city-of-london,0.25808106721395585,0.26666666666666666,,0.23986486486486486,0.21951219512195122,,0.24404086265607264,0.2127659574468085,,0.24397590361445784,0.33783783783783783,,,,,0.12507,"('Black', 'Female')","('Asian', 'Female')"
west-mercia,0.25957250499769335,0.22966014418125644,,0.33766233766233766,,,0.25688073394495414,0.21621621621621623,,0.3227722772277228,,,0.25892857142857145,,,0.12144000000000002,"('Other', 'Male')","('Asian', 'Female')"
cheshire,0.23395953757225432,0.22048192771084338,,0.3333333333333333,,,0.28191489361702127,,,0.25,,,,,,0.11285,"('Other', 'Male')","('White', 'Female')"
derbyshire,0.19848349687778769,0.20068027210884354,,0.17796610169491525,,,0.23373493975903614,,,0.1858108108108108,,,,,,0.055760000000000004,"('Asian', 'Male')","('Other', 'Male')"
btp,0.18806338362273461,0.15534883720930232,,0.17258064516129032,,,0.17857142857142858,0.1956521739130435,,0.184808483012335,0.21621621621621623,,,,,0.06087000000000001,"('Black', 'Female')","('White', 'Female')"
