,White,White,White,Other,Other,Other,Asian,Asian,Asian,Black,Black,Black,Mixed,Mixed,Mixed,diff,worst tuple,best tuple
,Male,Female,Other,Male,Female,Other,Male,Female,Other,Male,Female,Other,Male,Female,Other,,,
Article for use in theft,0.08555580882911633,0.09496919917864477,0.038461538461538464,0.099644128113879,0.05555555555555555,,0.07350521119034559,0.09375,,0.10079155672823219,0.15151515151515152,,0.08641975308641975,,,0.11306,"('Black', 'Female')","('White', 'Other')"
Controlled drugs,0.228596869096466,0.17077015463143672,0.21447721179624665,0.21466697609654212,0.16363636363636364,,0.21527638994364284,0.18672665916760406,,0.23657094594594594,0.2058623040218132,0.06451612903225806,0.2638805970149254,0.22277227722772278,,0.19936,"('Mixed', 'Male')","('Black', 'Other')"
Stolen goods,0.16964586846543,0.23466117216117216,0.23076923076923078,0.16595744680851063,0.2972972972972973,,0.14677276746242263,0.19491525423728814,,0.16924066924066924,0.23008849557522124,,0.1935483870967742,0.34285714285714286,,0.19609,"('Mixed', 'Female')","('Asian', 'Male')"
Offensive weapons,0.10782339828863162,0.08342760180995475,0.058823529411764705,0.10893854748603352,0.12,,0.08546168958742632,0.08235294117647059,,0.10101010101010101,0.0903954802259887,,0.12171837708830549,0.06666666666666667,,0.0629,"('Mixed', 'Male')","('White', 'Other')"
Anything to threaten or harm anyone,0.07623318385650224,0.052376333656644035,,0.08,,,0.05909090909090909,,,0.07136715391229578,0.075,,0.109375,,,0.057,"('Mixed', 'Male')","('White', 'Female')"
Articles for use in criminal damage,0.08797800549862535,0.08656036446469248,,0.13432835820895522,,,0.0718954248366013,,,0.05128205128205128,,,0.18604651162790697,,,0.13477,"('Mixed', 'Male')","('Black', 'Male')"
Firearms,0.10005321979776477,0.09292035398230089,,0.12727272727272726,,,0.09523809523809523,,,0.08045977011494253,,,,,,0.04680999999999999,"('Other', 'Male')","('Black', 'Male')"
Game or poaching equipment,0.1680327868852459,,,,,,,,,,,,,,,0.0,"('White', 'Male')","('White', 'Male')"
Psychoactive substances,0.2565893934582407,0.1781818181818182,,0.1652892561983471,,,0.18951612903225806,,,0.2650103519668737,,,0.1891891891891892,,,0.09972000000000003,"('Black', 'Male')","('Other', 'Male')"
Fireworks,0.03956043956043956,0.09090909090909091,,,,,0.08064516129032258,,,0.020833333333333332,,,,,,0.07008,"('White', 'Female')","('Black', 'Male')"
Evidence of offences under the Act,0.11512717536813923,0.08108108108108109,,0.11818181818181818,,,0.10857142857142857,,,0.12103746397694524,,,0.14285714285714285,,,0.06177999999999999,"('Mixed', 'Male')","('White', 'Female')"
Goods on which duty has not been paid etc.,0.22727272727272727,,,,,,,,,,,,,,,0.0,"('White', 'Male')","('White', 'Male')"
Detailed object of search unavailable,0.046296296296296294,0.0,,,,,,,,,,,,,,0.0463,"('White', 'Male')","('White', 'Female')"
Crossbows,0.1702127659574468,,,,,,,,,,,,,,,0.0,"('White', 'Male')","('White', 'Male')"
Evidence of hunting any wild mammal with a dog,,,,,,,,,,,,,,,,,,
Evidence of wildlife offences,0.10810810810810811,,,,,,,,,,,,,,,0.0,"('White', 'Male')","('White', 'Male')"
Seals or hunting equipment,,,,,,,,,,,,,,,,,,
